의안ID,의안번호,법률안명,소관위원회,제안일,본회의심의결과,대수,상세페이지,제안자,제안자목록링크,법사위처리일,법사위상정일,법사위회부일,소관위처리결과,소관위처리일,소관위상정일,소관위회부일,의결일,소관위원회ID,공동발의자,법사위처리결과,대표발의자
013484,141379,영화진흥법안,문화체육공보위원회,1995-11-27,대안반영폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013484&ageFrom=14&ageTo=14,정상용의원등 5인 외 26인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013484,,,,대안반영폐기,1995-12-07,1995-12-01,1995-11-27,1995-12-18,9700023,"국종남,박계동,조세형,채영석",,정상용
013483,141378,공직선거및선거부정방지법중개정법률안,내무위원회,1995-11-25,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013483&ageFrom=14&ageTo=14,황윤기의원 외 26인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013483,,,,,,,1995-11-25,1996-05-29,9700017,,,황윤기
013481,141377,자연환경보전법중개정법률안,환경노동위원회,1995-11-24,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013481&ageFrom=14&ageTo=14,정장현의원 외 81인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013481,,,,,,,1995-11-24,1996-05-29,9700038,,,정장현
013480,141375,선거관리위원회법중개정법률안,내무위원회,1995-11-24,원안가결,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013480&ageFrom=14&ageTo=14,정시채의원 외 22인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013480,1995-12-01,1995-12-01,1995-11-30,원안가결,1995-11-30,1995-11-30,1995-11-24,1995-12-02,9700017,,원안가결,정시채
013476,141373,방송법안,문화체육공보위원회,1995-11-23,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013476&ageFrom=14&ageTo=14,정상용의원등 7인 외 33인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013476,,,,,,,1995-11-23,1996-05-29,9700023,"국종남,김진영,박계동,배기선,조세형,채영석",,정상용
013478,141372,독립유공자예우에관한법률중개정법률안,보건복지위원회,1995-11-23,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013478&ageFrom=14&ageTo=14,김원웅의원 외 20인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013478,,,,,,,1995-11-23,1996-05-29,9700041,,,김원웅
013473,141369,해운법중개정법률안,건설교통위원회,1995-11-22,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013473&ageFrom=14&ageTo=14,한화갑의원등 9인 외 56인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013473,,,,,,,1995-11-22,1996-05-29,9700043,"김명규,김봉호,김영배,김옥천,신순범,오탄,이윤수,최재승",,한화갑
013475,141368,산림법중개정법률안,농림수산위원회,1995-11-22,원안가결,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013475&ageFrom=14&ageTo=14,정창현의원등 2인 외 43인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013475,1995-11-29,1995-11-29,1995-11-28,원안가결,1995-11-28,1995-11-28,1995-11-22,1995-12-01,9700028,조일현,원안가결,정창현
013470,141364,환경보전형농업육성및지원에관한법률안,농림수산위원회,1995-11-21,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013470&ageFrom=14&ageTo=14,이강두의원등 3인 외 49인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013470,,,,,,,1995-11-21,1996-05-29,9700028,"이길재,정창현",,이강두
013466,141363,폐기물관리법중개정법률안,환경노동위원회,1995-11-20,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013466&ageFrom=14&ageTo=14,김상현의원등 16인 외 11인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013466,,,,,,,1995-11-21,1996-05-29,9700038,"강철선,국종남,김동길,김말룡,김옥천,김장곤,박세직,박실,신기하,신순범,오탄,이종찬,장기욱,조순환,주양자",,김상현
013468,141362,환경정책기본법중개정법률안,환경노동위원회,1995-11-20,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013468&ageFrom=14&ageTo=14,김상현의원등 16인 외 11인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013468,,,,,,,1995-11-21,1996-05-29,9700038,"강철선,국종남,김동길,김말룡,김옥천,김장곤,박세직,박실,신기하,신순범,오탄,이종찬,장기욱,조순환,주양자",,김상현
013465,141361,환경영향평가법중개정법률안,환경노동위원회,1995-11-20,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013465&ageFrom=14&ageTo=14,김상현의원등 16인 외 11인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013465,,,,,,,1995-11-21,1996-05-29,9700038,"강철선,국종남,김동길,김말룡,김옥천,김장곤,박세직,박실,신기하,신순범,오탄,이종찬,장기욱,조순환,주양자",,김상현
013467,141360,지하수법중개정법률안,건설교통위원회,1995-11-20,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013467&ageFrom=14&ageTo=14,김상현의원등 16인 외 11인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013467,,,,,,,1995-11-21,1996-05-29,9700043,"강철선,국종남,김동길,김말룡,김옥천,김장곤,박세직,박실,신기하,신순범,오탄,이종찬,장기욱,조순환,주양자",,김상현
013464,141359,중소기업경영안정지원을위한특별조치법안,통상산업위원회,1995-11-20,대안반영폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013464&ageFrom=14&ageTo=14,손세일의원등 7인 외 58인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013464,,,,대안반영폐기,1995-11-22,1995-11-21,1995-11-20,1995-11-30,9700031,"류인학,박광태,박정훈,신기하,안동선,조순승",,손세일
013463,141358,지방자치법중개정법률안,내무위원회,1995-11-18,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013463&ageFrom=14&ageTo=14,장석화의원등 6인 외 59인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013463,,,,,,,1995-11-18,1996-05-29,9700017,"김충조,박실,이원형,장영달,정균환",,장석화
013459,141356,고엽제후유의증환자진료등에관한법률중개정법률안,보건복지위원회,1995-11-16,대안반영폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013459&ageFrom=14&ageTo=14,박상천의원등 4인 외 62인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013459,,,,대안반영폐기,1995-12-14,1995-11-20,1995-11-16,1995-12-18,9700041,"김상현,한광옥",,박상천
013456,141344,제4회강원동계아시아경기대회지원특별법안,국제경기대회지원특별위원회,1995-11-15,철회,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013456&ageFrom=14&ageTo=14,류종수의원 외 21인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013456,,,,,,,1995-11-15,1995-11-20,,,,류종수
013447,141343,한국전문대학교육협의회법안,교육위원회,1995-11-15,수정가결,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013447&ageFrom=14&ageTo=14,김호일의원등 2인 외 40인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013447,1995-11-29,1995-11-29,1995-11-28,수정가결,1995-11-27,1995-11-20,1995-11-15,1995-12-01,9700021,이영권,원안가결,김호일
013444,141339,교육법중개정법률안,교육위원회,1995-11-13,대안반영폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013444&ageFrom=14&ageTo=14,김원웅의원등 3인 외 23인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013444,,,,대안반영폐기,1995-11-20,1995-11-15,1995-11-13,1995-12-01,9700021,"박석무,홍기훈",,김원웅
013443,141337,12·12군사반란및5·18내란사건처리특별법안,법제사법위원회,1995-11-13,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013443&ageFrom=14&ageTo=14,장기욱의원등 30인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013443,,,,,,,1995-11-13,1996-05-29,9700006,"강수림,강창성,강희찬,김말룡,김원기,김원웅,김종완,류인태,박계동,박석무,박일,신진욱,양문희,원혜영,이규택,이기택,이동근,이상두,이장희,이철,이철,장준익,정기호,제정구,최욱철,하근수,홍기훈,홍영기,황의성",,장기욱
013439,141335,소비자생활협동조합법안,재정경제위원회,1995-11-10,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013439&ageFrom=14&ageTo=14,박명환의원 외 20인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013439,,,,,,,1995-11-10,1996-05-29,9700009,,,박명환
013438,141334,학교급식법중개정법률안,교육위원회,1995-11-10,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013438&ageFrom=14&ageTo=14,홍기훈의원등 3인 외 23인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013438,,,,,,,1995-11-11,1996-05-29,9700021,"김원웅,박석무",,홍기훈
013440,141333,학교급식법중개정법률안,교육위원회,1995-11-10,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013440&ageFrom=14&ageTo=14,이영권의원등 2인 외 63인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013440,,,,,,,1995-11-11,1996-05-29,9700021,이협,,이영권
013437,141332,남녀고용평등법중개정법률안,환경노동위원회,1995-11-10,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013437&ageFrom=14&ageTo=14,이우정의원등 7인 외 32인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013437,,,,,,,1995-11-10,1996-05-29,9700038,"강부자,김말룡,김해석,박세직,신계륜,원혜영",,이우정
013432,141329,교육법중개정법률안,교육위원회,1995-11-09,대안반영폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013432&ageFrom=14&ageTo=14,김윤환의원등 2인 외 162인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013432,,,,대안반영폐기,1995-11-20,1995-11-15,1995-11-10,1995-12-01,9700021,김인영,,김윤환
013431,141328,교육환경개선특별회계법안,교육위원회,1995-11-09,수정가결,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013431&ageFrom=14&ageTo=14,김인영의원 외 163인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013431,1995-11-29,1995-11-29,1995-11-21,수정가결,1995-11-20,1995-11-15,1995-11-10,1995-12-01,9700021,,수정가결,김인영
013433,141327,학교용지확보에관한특례법안,교육위원회,1995-11-09,수정가결,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013433&ageFrom=14&ageTo=14,김인영의원 외 163인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013433,1995-11-29,1995-11-29,1995-11-21,수정가결,1995-11-20,1995-11-15,1995-11-10,1995-12-01,9700021,,수정가결,김인영
013428,141323,도서개발촉진법중개정법률안,내무위원회,1995-11-09,원안가결,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013428&ageFrom=14&ageTo=14,양정규의원등 25인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013428,1995-12-18,1995-12-18,1995-12-13,원안가결,1995-12-13,1995-11-13,1995-11-10,1995-12-18,9700017,"강철선,김두섭,김명규,김봉호,김영진,김영진,김영진,김영진,김옥두,김옥천,김용환,김인곤,김형오,박광태,박상천,박상천,변정일,신순범,오탄,이학원,정균환,정상용,정순덕,한화갑",원안가결,양정규
013427,141322,지식산업육성에관한법률안,통상산업위원회,1995-11-08,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013427&ageFrom=14&ageTo=14,김종하의원등 5인 외 26인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013427,,,,,,,1995-11-09,1996-05-29,9700031,"김진영,이강두,이경재,이장희",,김종하
013426,141321,조세감면규제법중개정법률안,재정경제위원회,1995-11-08,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013426&ageFrom=14&ageTo=14,조부영의원 외 24인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013426,,,,,,,1995-11-09,1996-05-29,9700009,,,조부영
013422,141318,고엽제후유의증환자진료등에관한법률중개정법률안,보건복지위원회,1995-11-08,대안반영폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013422&ageFrom=14&ageTo=14,박세직의원 외 21인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013422,,,,대안반영폐기,1995-12-14,1995-11-20,1995-11-09,1995-12-18,9700041,,,박세직
013390,141296,상훈법중개정법률안,행정위원회,1995-11-03,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013390&ageFrom=14&ageTo=14,신기하의원등 6인 외 59인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013390,,,,,,,1995-11-04,1996-05-29,9700007,"강철선,권노갑,김덕규,문희상,손세일",,신기하
013389,141295,삼청교육피해자의보상등에관한특별법안,국방위원회,1995-11-03,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013389&ageFrom=14&ageTo=14,이원형의원등 6인 외 61인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013389,,,,,,,1995-11-04,1996-05-29,9700019,"박상천,박상천,손세일,임복진,임복진",,이원형
013387,141283,기능대학법중개정법률안,환경노동위원회,1995-11-02,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013387&ageFrom=14&ageTo=14,원혜영의원 외 22인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013387,,,,,,,1995-11-03,1996-05-29,9700038,,,원혜영
013388,141282,소득세법중개정법률안,재정경제위원회,1995-11-02,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013388&ageFrom=14&ageTo=14,장재식의원등 8인 외 58인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013388,,,,,,,1995-11-03,1996-05-29,9700009,"김원길,류준상,박태영,이경재,이석현,이석현,최두환",,장재식
013386,141281,상훈법중개정법률안,행정위원회,1995-11-02,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013386&ageFrom=14&ageTo=14,장기욱의원등 8인 외 22인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013386,,,,,,,1995-11-02,1996-05-29,9700007,"강수림,김원웅,김종완,신진욱,이장희,정기호,홍기훈",,장기욱
013385,141280,전직대통령예우에관한법률중개정법률안,행정위원회,1995-11-02,폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013385&ageFrom=14&ageTo=14,장기욱의원등 8인 외 22인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013385,,,,폐기,1995-11-28,1995-11-23,1995-11-02,1995-12-01,9700007,"강수림,김원웅,김종완,신진욱,이장희,정기호,홍기훈",,장기욱
013384,141279,농어업재해대책법중개정법률안,농림수산위원회,1995-11-01,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013384&ageFrom=14&ageTo=14,조일현의원 외 20인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013384,,,,,,,1995-11-02,1996-05-29,9700028,,,조일현
013383,141278,생활산업구조고도화촉진에관한임시조치법안,통상산업위원회,1995-10-31,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013383&ageFrom=14&ageTo=14,윤영탁의원 외 76인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013383,,,,,,,1995-11-01,1996-05-29,9700031,,,윤영탁
013382,141277,지방자치발전특별법안,지방자치특별위원회,1995-10-30,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013382&ageFrom=14&ageTo=14,정균환의원 외 29인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013382,,,,,,,1995-11-09,1996-05-29,,,,정균환
013381,141276,혼인에관한특례법안,법제사법위원회,1995-10-30,원안가결,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013381&ageFrom=14&ageTo=14,이우정의원등 8인 외 48인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013381,1995-11-16,1995-11-06,,원안가결,1995-11-16,1995-11-06,1995-10-30,1995-11-17,9700006,"강부자,강선영,김원웅,문희상,정옥순,주양자,현경자",원안가결,이우정
013380,141275,음반및비디오물에관한법률개정법률안,문화체육공보위원회,1995-10-28,수정가결,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013380&ageFrom=14&ageTo=14,박종웅의원 외 163인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013380,1995-11-16,1995-11-16,1995-11-14,수정가결,1995-11-14,1995-11-09,1995-10-30,1995-11-17,9700023,,수정가결,박종웅
013379,141274,전직대통령예우에관한법률폐지법률안,행정위원회,1995-10-27,폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013379&ageFrom=14&ageTo=14,신기하의원등 5인 외 60인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013379,,,,폐기,1995-11-28,1995-11-23,1995-10-28,1995-12-01,9700007,"강철선,권노갑,김덕규,문희상",,신기하
013375,141273,국유철도의운영에관한특례법안,건설교통위원회,1995-10-26,수정가결,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013375&ageFrom=14&ageTo=14,정영훈의원등 8인 외 159인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013375,1995-11-14,1995-11-14,1995-11-06,수정가결,1995-11-06,1995-11-02,1995-10-26,1995-11-16,9700043,"김영진,김영진,김영진,김영진,김효영,윤영탁,이상재",수정가결,정영훈
013366,141266,지방세법중개정법률안,내무위원회,1995-10-23,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013366&ageFrom=14&ageTo=14,김종완의원등 3인 외 26인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013366,,,,,,,1995-10-24,1996-05-29,9700017,"신진욱,이장희",,김종완
013363,141265,국세와지방세의조정등에관한법률중개정법률안,재정경제위원회,1995-10-23,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013363&ageFrom=14&ageTo=14,제정구의원등 4인 외 26인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013363,,,,,,,1995-10-24,1996-05-29,9700009,"박일,이동근,홍기훈",,제정구
013370,141264,조세감면규제법중개정법률안,재정경제위원회,1995-10-23,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013370&ageFrom=14&ageTo=14,제정구의원등 4인 외 26인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013370,,,,,,,1995-10-24,1996-05-29,9700009,"박일,이동근,홍기훈",,제정구
013368,141263,주세법중개정법률안,재정경제위원회,1995-10-23,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013368&ageFrom=14&ageTo=14,제정구의원등 4인 외 26인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013368,,,,,,,1995-10-24,1996-05-29,9700009,"박일,이동근,홍기훈",,제정구
013371,141262,상속세법중개정법률안,재정경제위원회,1995-10-23,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013371&ageFrom=14&ageTo=14,제정구의원등 4인 외 26인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013371,,,,,,,1995-10-24,1996-05-29,9700009,"박일,이동근,홍기훈",,제정구
013367,141261,법인세법중개정법률안,재정경제위원회,1995-10-23,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013367&ageFrom=14&ageTo=14,제정구의원등 4인 외 26인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013367,,,,,,,1995-10-24,1996-05-29,9700009,"박일,이동근,홍기훈",,제정구
013365,141260,소득세법중개정법률안,재정경제위원회,1995-10-23,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013365&ageFrom=14&ageTo=14,제정구의원등 4인 외 26인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013365,,,,,,,1995-10-24,1996-05-29,9700009,"박일,이동근,홍기훈",,제정구
013364,141259,고엽제후유의증환자진료등에관한법률중개정법률안,보건복지위원회,1995-10-23,철회,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013364&ageFrom=14&ageTo=14,박세직의원 외 26인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013364,,,,,,,1995-10-24,1995-11-08,9700041,,,박세직
013369,141258,독립유공자예우에관한법률중개정법률안,보건복지위원회,1995-10-23,대안반영폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013369&ageFrom=14&ageTo=14,이연석의원등 5인 외 20인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013369,,,,대안반영폐기,1995-12-14,1995-11-20,1995-10-24,1995-12-18,9700041,"김상현,김원웅,문창모,양문희",,이연석
013362,141257,정신보건법안,보건복지위원회,1995-10-20,대안반영폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013362&ageFrom=14&ageTo=14,강수림의원등 3인 외 17인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013362,,,1995-11-23,대안반영폐기,1995-12-14,1995-11-13,1995-10-23,1995-12-18,9700041,"강창성,양문희",,강수림
013299,141194,공직선거및선거부정방지법중개정법률안,내무위원회,1995-10-14,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013299&ageFrom=14&ageTo=14,정재철의원 외 30인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013299,,,,,,,1995-10-14,1996-05-29,9700017,,,정재철
013289,141184,근로청소년의보호및복지에관한법률안,환경노동위원회,1995-10-05,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013289&ageFrom=14&ageTo=14,박명환의원 외 31인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013289,,,,,,,1995-10-05,1996-05-29,9700038,,,박명환
013268,141163,’97무주·전주동계유니버시아드대회지원특별법안,국제경기대회지원특별위원회,1995-09-25,철회,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013268&ageFrom=14&ageTo=14,김태식의원등 10인 외 55인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013268,,,,,,,1995-11-15,1995-11-22,,"강철선,오탄,이협,이희천,장영달,정균환,채영석,최락도,최재승",,김태식
013266,141162,헌법파괴범죄등의공소시효에관한법률안,법제사법위원회,1995-09-22,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013266&ageFrom=14&ageTo=14,박상천의원등 14인 외 53인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013266,,,,,,,1995-09-28,1996-05-29,9700006,"강철선,박광태,신기하,오탄,이길재,이원형,임복진,임복진,장석화,정상용,조순형,조홍규",,박상천
013267,141161,특별검사의임명등에관한법률안,법제사법위원회,1995-09-22,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013267&ageFrom=14&ageTo=14,조홍규의원등 14인 외 53인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013267,,,,,,,1995-09-28,1996-05-29,9700006,"강철선,박광태,박상천,박상천,신기하,오탄,이길재,이원형,임복진,임복진,장석화,정상용,조순형",,조홍규
013265,141160,5·18광주민주화운동의진상규명등에관한특별법안,법제사법위원회,1995-09-22,임기만료폐기,14,http://likms.assembly.go.kr/bill/billDetail.do?billId=013265&ageFrom=14&ageTo=14,조순형의원등 14인 외 53인,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=013265,,,,,,,1995-09-28,1996-05-29,9700006,"강철선,박광태,박상천,박상천,신기하,오탄,이길재,이원형,임복진,임복진,장석화,정상용,조홍규",,조순형
